Number of Samples,Number of Expert Queries,Mean Distance Travelled,STDEV Distance Travelled,Mean Reward,STDEV Reward
110209,109709,52.18572960752438,7.105427357601002e-15,7.879999999999877,8.881784197001252e-16
110997,110497,74.959652137387,1.4210854715202004e-14,11.659999999999796,0.0
112163,111663,56.94805603397938,0.0,8.489999999999863,0.0
113012,112512,121.22985438742037,0.0,19.41000000000023,3.552713678800501e-15
114953,114453,81.02211695500183,0.0,12.78999999999977,1.7763568394002505e-15
116232,115732,80.50175530780207,1.4210854715202004e-14,12.639999999999775,0.0
117496,116996,126.07668644280379,1.4210854715202004e-14,20.19000000000036,3.552713678800501e-15
119515,119015,95.08433841623489,1.4210854715202004e-14,14.949999999999728,1.7763568394002505e-15
121010,120510,60.307224951375005,0.0,9.11999999999985,0.0
121922,121422,127.03000580139607,0.0,20.33000000000038,0.0
123955,123455,52.142865172678775,0.0,7.799999999999879,8.881784197001252e-16
124735,124235,75.7401986439186,0.0,11.579999999999798,0.0
125893,125393,57.328251732415005,7.105427357601002e-15,8.529999999999863,0.0
126746,126246,37.20785179514853,7.105427357601002e-15,5.619999999999925,0.0
127308,126808,52.17482241534249,7.105427357601002e-15,7.779999999999878,8.881784197001252e-16
128086,127586,38.67115053130287,7.105427357601002e-15,5.83999999999992,0.0
128670,128170,104.99560937106739,0.0,16.66999999999981,3.552713678800501e-15
130337,129837,130.3803877011276,0.0,20.820000000000455,0.0
132419,131919,92.65087107754107,0.0,14.819999999999729,0.0
133901,133401,52.61399147808017,7.105427357601002e-15,7.899999999999876,0.0
134691,134191,108.97152906687771,1.4210854715202004e-14,17.379999999999917,0.0
136429,135929,39.21739090869499,0.0,5.919999999999918,0.0
137021,136521,33.83129469956528,0.0,5.269999999999932,0.0
137548,137048,103.15802217991317,0.0,16.39999999999976,3.552713678800501e-15
139188,138688,124.15075857842074,0.0,19.890000000000306,3.552713678800501e-15
141177,140677,125.01670412312258,1.4210854715202004e-14,19.96000000000032,0.0
143173,142673,79.93109652829347,0.0,12.509999999999778,0.0
144424,143924,124.83791199684818,0.0,19.8300000000003,0.0
146407,145907,125.47413033244274,1.4210854715202004e-14,20.270000000000373,3.552713678800501e-15
148434,147934,56.699967474648396,0.0,8.439999999999866,1.7763568394002505e-15
149278,148778,122.24586561805218,1.4210854715202004e-14,19.69000000000028,0.0
151247,150747,128.628237192124,0.0,20.550000000000413,0.0
153302,152802,87.74740147227735,0.0,13.74999999999975,1.7763568394002505e-15
154677,154177,125.85981752533102,0.0,20.22000000000036,0.0
156699,156199,14.863202037431273,0.0,2.5099999999999905,0.0
156950,156450,44.32612260422711,0.0,6.699999999999902,0.0
157620,157120,126.62765472047752,0.0,20.350000000000385,3.552713678800501e-15
159655,159155,124.47789249995978,1.4210854715202004e-14,19.840000000000305,3.552713678800501e-15
161639,161139,75.05277126365336,1.4210854715202004e-14,11.4699999999998,0.0
162786,162286,130.44858293565784,2.842170943040401e-14,20.750000000000448,3.552713678800501e-15
164861,164361,127.27558461379522,0.0,20.200000000000358,0.0
166881,166381,125.67075123016073,0.0,20.160000000000355,3.552713678800501e-15
168897,168397,111.39087359180317,1.4210854715202004e-14,17.75999999999998,3.552713678800501e-15
170673,170173,126.41963992794584,1.4210854715202004e-14,20.28000000000037,0.0
172701,172201,125.01662996258956,1.4210854715202004e-14,20.01000000000033,0.0
174702,174202,128.30584588398696,2.842170943040401e-14,20.440000000000396,0.0
176746,176246,125.41111668050783,0.0,19.940000000000317,0.0
178740,178240,74.68228969973144,0.0,11.4999999999998,0.0
179890,179390,52.600242733044,7.105427357601002e-15,7.959999999999876,8.881784197001252e-16
180686,180186,38.13557587657835,0.0,5.83999999999992,0.0
181270,180770,57.684419630922136,1.4210854715202004e-14,8.569999999999862,0.0
182127,181627,58.870206935738416,0.0,8.789999999999855,1.7763568394002505e-15
183006,182506,105.7659586708166,1.4210854715202004e-14,16.79999999999983,3.552713678800501e-15
184686,184186,103.62409941672563,1.4210854715202004e-14,16.52999999999978,3.552713678800501e-15
186339,185839,44.21121203305971,7.105427357601002e-15,6.629999999999903,0.0
187002,186502,52.61611477668341,7.105427357601002e-15,7.849999999999878,8.881784197001252e-16
187787,187287,37.80261435699743,0.0,5.739999999999922,0.0
188361,187861,33.52464784546667,7.105427357601002e-15,5.179999999999934,0.0
188879,188379,56.98567441327621,0.0,8.499999999999861,1.7763568394002505e-15
189729,189229,126.29649672726887,1.4210854715202004e-14,20.260000000000367,0.0
191755,191255,172.79411376138404,2.842170943040401e-14,27.26000000000146,0.0
194481,193981,118.00030234915468,0.0,19.09000000000018,3.552713678800501e-15
196390,195890,40.41643667244311,0.0,6.1399999999999135,0.0
197004,196504,14.90942466932064,3.552713678800501e-15,2.429999999999992,0.0
197247,196747,38.707124210714156,0.0,5.929999999999919,8.881784197001252e-16
197840,197340,124.17725532884876,0.0,19.860000000000305,0.0
199826,199326,84.06559809549262,1.4210854715202004e-14,12.999999999999767,0.0
201126,200626,14.055798429501118,1.7763568394002505e-15,2.379999999999993,4.440892098500626e-16
201364,200864,133.72589275891232,0.0,21.30000000000053,0.0
203494,202994,124.52304912224285,0.0,19.96000000000032,0.0
205490,204990,52.507287662487144,0.0,7.899999999999876,0.0
206280,205780,55.17514180672797,0.0,8.299999999999867,0.0
207110,206610,75.94517090259272,0.0,11.769999999999794,0.0
208287,207787,124.57260106556109,1.4210854715202004e-14,19.96000000000032,0.0
210283,209783,63.918389205258094,7.105427357601002e-15,9.699999999999836,1.7763568394002505e-15
211253,210753,124.36360983995182,0.0,19.800000000000296,0.0
213233,212733,124.69132006693846,1.4210854715202004e-14,19.780000000000292,0.0
215211,214711,74.19042024436774,1.4210854715202004e-14,11.409999999999801,0.0
216352,215852,52.565590410037615,7.105427357601002e-15,7.859999999999876,8.881784197001252e-16
217138,216638,42.963388493874824,7.105427357601002e-15,6.4699999999999065,0.0
217785,217285,47.495441191572866,0.0,7.0799999999998935,0.0
218493,217993,131.3490227232041,2.842170943040401e-14,20.88000000000046,3.552713678800501e-15
220581,220081,127.03928971736339,0.0,20.250000000000366,0.0
222606,222106,75.49949541965239,0.0,11.769999999999794,0.0
223783,223283,125.14815156614615,0.0,19.8300000000003,0.0
225766,225266,62.15357346151018,0.0,9.359999999999845,0.0
226702,226202,52.49149543682449,0.0,7.839999999999877,0.0
227486,226986,56.986206938033,7.105427357601002e-15,8.559999999999862,0.0
